processIntesity,runTimeBound,scheduler,wallTime,kernelTime,userTime,cpuUsage,involContextSwitch,volContextSwitch
FIFO,Heavy,CPU,39.06333333333334,0.060000000000000005,71.29,182.0,70.0,101.0
FIFO,Heavy,IO,1.8566666666666665,1.3866666666666667,0.09333333333333334,79.66666666666667,0.6666666666666666,29042.0
FIFO,Heavy,MIXED,40.086666666666666,19.116666666666667,54.913333333333334,184.33333333333334,37.666666666666664,10454.666666666666
FIFO,Light,CPU,1.6199999999999999,0.0,2.0366666666666666,128.66666666666666,2.0,4.666666666666667
FIFO,Light,IO,0.08,0.03333333333333333,0.0033333333333333335,45.666666666666664,0.6666666666666666,335.6666666666667
FIFO,Light,MIXED,1.9433333333333334,0.5233333333333333,1.4466666666666665,101.33333333333333,1.0,336.3333333333333
FIFO,Medium,CPU,16.233333333333334,0.016666666666666666,27.75,170.66666666666666,23.333333333333332,36.666666666666664
FIFO,Medium,IO,0.7966666666666667,0.5633333333333334,0.016666666666666666,71.66666666666667,2.0,6063.333333333333
FIFO,Medium,MIXED,14.316666666666668,6.726666666666667,19.113333333333333,180.0,11.666666666666666,4482.666666666667
OTHER,Heavy,CPU,36.96333333333333,1.5200000000000002,71.06666666666666,196.0,12401.0,7657.0
OTHER,Heavy,IO,1.8999999999999997,2.2533333333333334,0.049999999999999996,121.33333333333333,3550.3333333333335,27428.333333333332
OTHER,Heavy,MIXED,36.67333333333334,21.813333333333333,49.18,193.0,13309.333333333334,33316.666666666664
OTHER,Light,CPU,1.1933333333333331,0.016666666666666666,2.28,191.66666666666666,377.0,264.0
OTHER,Light,IO,0.13,0.06333333333333334,0.0,51.666666666666664,103.66666666666667,509.3333333333333
OTHER,Light,MIXED,1.6500000000000001,0.63,2.216666666666667,172.33333333333334,603.3333333333334,773.0
OTHER,Medium,CPU,14.92,0.45,28.679999999999996,194.66666666666666,7180.666666666667,4481.0
OTHER,Medium,IO,1.366666666666667,1.4533333333333331,0.0,106.0,1664.0,10017.666666666666
OTHER,Medium,MIXED,13.606666666666667,8.423333333333334,17.830000000000002,192.66666666666666,6141.666666666667,11640.0
RR,Heavy,CPU,38.416666666666664,0.08333333333333333,71.16333333333334,185.0,435.0,383.6666666666667
RR,Heavy,IO,1.7633333333333334,1.4466666666666665,0.10999999999999999,88.66666666666667,1.0,20766.666666666668
RR,Heavy,MIXED,35.940000000000005,19.86,47.673333333333325,187.33333333333334,463.6666666666667,10939.0
RR,Light,CPU,1.6366666666666667,0.0,1.9200000000000002,120.66666666666667,14.333333333333334,11.333333333333334
RR,Light,IO,0.07333333333333335,0.03,0.0,41.666666666666664,2.0,334.3333333333333
RR,Light,MIXED,1.8399999999999999,0.5966666666666667,1.29,102.66666666666667,11.0,345.6666666666667
RR,Medium,CPU,15.376666666666665,0.03,26.689999999999998,173.33333333333334,167.0,147.0
RR,Medium,IO,0.64,0.42,0.053333333333333344,75.0,1.0,6064.0
RR,Medium,MIXED,14.193333333333333,7.096666666666667,17.233333333333334,171.0,156.66666666666666,4873.0
